x,y,z,player,worldName,worldTime
-2473,120,557,24,world,21605273
-2457,112,520,24,world,21605320
-2452,110,509,24,world,21605332
-2444,108,495,24,world,21605346
-2435,106,489,24,world,21605356
-2419,101,463,24,world,21605383
-2440,91,450,24,world,21605417
-2446,80,466,24,world,21605437
-2429,72,476,24,world,21605459
-2432,66,465,24,world,21605489
-2432,101,461,24,world,21605610
-2432,111,461,24,world,21605628
-2432,129,461,24,world,21605658
-2438,151,457,24,world,21605835
-2444,152,456,24,world,21605952
-2437,151,455,24,world,21606133
-2435,151,456,24,world,21606161
-2434,151,456,24,world,21606291
-2429,151,457,24,world,21606568
-2428,151,457,24,world,21606676
-2422,152,456,24,world,21606948
-2429,151,457,24,world,21607064
-2434,151,456,24,world,21607247
-2419,152,456,24,world,21607407
-2430,151,456,24,world,21607444
-2447,152,455,24,world,21607507
-2442,152,456,24,world,21607615
-2436,151,455,24,world,21607637
-2418,152,455,24,world,21607889
-2442,152,456,24,world,21607962
-2447,152,456,24,world,21608041
-2447,152,456,24,world,21608130
-2434,151,455,24,world,21608179
-2423,152,455,24,world,21608226
-2419,152,456,24,world,21608775
-2435,139,481,24,world,21608891
-2445,132,490,24,world,21608905
-2463,122,506,24,world,21608923
-2474,112,529,24,world,21608941
-2461,101,547,24,world,21608958
-2447,89,565,24,world,21608974
-2451,81,580,24,world,21608986
-2474,74,578,24,world,21609006
-2491,69,579,24,world,21609023
-2501,65,591,24,world,21609042
-2519,64,586,24,world,21609114
-2517,65,581,24,world,21609447
-2520,64,608,24,world,21609589
-2514,63,612,24,world,21609636
-2515,63,616,24,world,21609692
-2522,63,612,24,world,21609732
-2525,64,586,24,world,21610111
-2522,64,582,24,world,21610295
-2503,65,588,24,world,21610412
-2495,72,575,24,world,21610428
-2485,79,558,24,world,21610441
-2466,87,525,24,world,21610468
-2460,89,516,24,world,21610478
-2452,92,501,24,world,21610499
-2446,91,492,24,world,21610515
-2438,87,485,24,world,21610529
-2425,83,477,24,world,21610545
-2423,76,466,24,world,21610561
-2433,66,462,24,world,21610589
-2432,63,462,24,world,21610631
-2432,89,461,24,world,21610681
-2432,107,461,24,world,21610711
-2432,122,461,24,world,21610735
-2432,133,461,24,world,21610752
-2437,151,456,24,world,21610866
-2415,152,455,24,world,21611227
-2414,153,456,24,world,21611798
-2420,153,457,24,world,21612029
-2432,152,457,24,world,21612069
-2449,152,456,24,world,21612143
-2434,151,455,24,world,21612220
-2421,152,455,24,world,21612269
-2412,153,457,24,world,21612833
-2419,152,455,24,world,21613482
-2432,152,456,24,world,21613519
-2446,152,456,24,world,21613568
-2443,152,456,24,world,21613751
-2417,153,456,24,world,21613891
-2416,153,455,24,world,21613979
-2419,152,456,24,world,21614167
-2422,152,466,24,world,21614885
-2433,144,475,24,world,21614907
-2472,129,489,24,world,21614944
-2494,123,483,24,world,21614961
-2521,116,467,24,world,21614981
-2535,109,464,24,world,21615004
-2524,106,473,24,world,21615050
-2528,103,480,24,world,21615129
-2527,92,486,24,world,21615173
-2524,82,495,24,world,21615194
-2527,74,492,24,world,21615256
-2530,74,491,24,world,21615375
-2530,76,489,24,world,21615422
-2531,75,489,24,world,21615484
-2539,66,494,24,world,21615527
-2547,65,499,24,world,21615575
-2552,61,505,24,world,21615606
-2559,68,530,24,world,21615753
-2559,73,539,24,world,21615825
-2561,80,547,24,world,21615890
-2569,82,548,24,world,21615964
-2574,79,556,24,world,21615999
-2579,77,570,24,world,21616099
-2577,77,576,24,world,21616140
-2577,74,587,24,world,21616175
-2586,75,593,24,world,21616213
-2597,73,594,24,world,21616248
-2588,73,603,24,world,21616284
-2564,65,632,24,world,21616385
-2546,64,648,24,world,21616485
-2541,64,656,24,world,21616545
-2534,64,665,24,world,21616586
-2528,64,679,24,world,21616654
-2531,66,685,24,world,21616686
-2531,65,682,24,world,21616831
-2530,65,679,24,world,21616931
-2525,63,662,24,world,21617148
-2532,62,647,24,world,21617205
-2539,62,626,24,world,21617261
-2546,62,604,24,world,21617320
-2549,62,597,24,world,21617339
-2552,62,591,24,world,21617357
-2554,62,584,24,world,21617374
-2551,62,577,24,world,21617395
-2546,62,573,24,world,21617412
-2537,62,567,24,world,21617440
-2534,62,563,24,world,21617486
-2527,62,542,24,world,21617545
-2507,62,542,24,world,21617602
-2498,62,538,24,world,21617626
-2489,62,531,24,world,21617655
-2477,62,519,24,world,21617697
-2454,62,498,24,world,21617776
-2449,62,492,24,world,21617795
-2433,62,477,24,world,21617849
-2431,62,467,24,world,21617878
-2431,64,463,24,world,21618248
-2432,98,461,24,world,21618348
-2432,113,461,24,world,21618373
-2432,125,461,24,world,21618393
-2432,138,461,24,world,21618415
-2435,110,473,24,world,21618489
-2435,73,470,24,world,21618505
-2433,56,466,24,world,21618527
-2432,63,465,24,world,21618616
-2430,63,467,24,world,21618773
-2431,46,448,24,world,21618971
-2431,52,448,24,world,21618998
-2434,61,446,24,world,21619022
-2435,62,444,24,world,21619066
-2433,47,446,24,world,21619135
-2432,59,450,24,world,21619243
-2433,62,450,24,world,21619272
-2436,62,451,24,world,21619325
-2434,63,460,24,world,21619589
-2433,63,464,24,world,21620072
-2434,63,464,24,world,21620526
-2435,55,463,24,world,21620645
-2436,58,457,24,world,21620682
